Id,ORIGIN,DEST,DELAYS,ON_TIME,FLIGHTS,DELAY_RATIO
3730,SFO,LAX,496.0,874.0,1420,34.929577464788736
2168,LAX,SFO,557.0,794.0,1400,39.785714285714285
2136,LAX,JFK,237.0,884.0,1138,20.826010544815464
1961,JFK,LAX,307.0,823.0,1138,26.977152899824254
2234,LGA,ORD,194.0,754.0,994,19.517102615694164
2990,ORD,LGA,223.0,716.0,984,22.66260162601626
2167,LAX,SEA,187.0,774.0,965,19.378238341968913
3657,SEA,LAX,173.0,785.0,963,17.964693665628246
2138,LAX,LAS,258.0,695.0,961,26.847034339229968
2061,LAS,LAX,294.0,661.0,961,30.593132154006245
3763,SFO,SEA,418.0,514.0,954,43.81551362683438
3683,SEA,SFO,349.0,584.0,951,36.69821240799159
2840,OGG,HNL,46.0,802.0,852,5.39906103286385
1625,HNL,OGG,33.0,815.0,852,3.8732394366197185
1033,DEN,LAX,201.0,633.0,837,24.014336917562723
2119,LAX,DEN,166.0,661.0,835,19.880239520958085
2154,LAX,ORD,139.0,679.0,826,16.82808716707022
2988,ORD,LAX,168.0,643.0,821,20.46285018270402
86,ANC,SEA,87.0,705.0,796,10.92964824120603
3621,SEA,ANC,118.0,674.0,795,14.842767295597485
3729,SFO,LAS,265.0,513.0,786,33.71501272264631
2090,LAS,SFO,328.0,439.0,777,42.21364221364222
444,BOS,DCA,146.0,584.0,762,19.16010498687664
925,DCA,BOS,141.0,586.0,759,18.57707509881423
2348,MCO,ATL,99.0,652.0,755,13.112582781456954
185,ATL,MCO,118.0,634.0,755,15.629139072847682
3541,SAN,SFO,319.0,388.0,733,43.519781718963166
3759,SFO,SAN,222.0,486.0,730,30.410958904109588
3747,SFO,ORD,227.0,488.0,726,31.267217630853995
2005,KOA,HNL,19.0,700.0,722,2.6315789473684212
3043,ORD,SFO,198.0,516.0,718,27.57660167130919
2196,LGA,ATL,132.0,569.0,716,18.435754189944134
181,ATL,LGA,128.0,564.0,715,17.902097902097903
1469,FLL,ATL,106.0,607.0,714,14.84593837535014
151,ATL,FLL,110.0,597.0,714,15.406162464985995
470,BOS,ORD,135.0,559.0,704,19.176136363636363
2931,ORD,BOS,134.0,560.0,703,19.061166429587484
3009,ORD,MSP,106.0,584.0,699,15.164520743919885
3636,SEA,DEN,118.0,574.0,697,16.929698708751793
1082,DEN,SEA,198.0,497.0,697,28.407460545193686
1083,DEN,SFO,252.0,438.0,696,36.206896551724135
