;;;;;;;;Office_Country_Code;;
J1AS0G;1441404544;nan;40;2457207;nan;1442142720;FDF;FR;LYS;nan
CACG60;1434024704;nan;30;2457101;EUR;1434024064;SHE;FR;ORY;51.63
Z53L0O;1406024448;L;20;2456797;NOK;1406620416;BKK;NO;CPH;0.32
N8ZJHX;1436512256;B;40;2457164;EUR;1437138176;CPH;NL;AMS;16.23
IJ7EP1;1417781760;nan;40;2456931;COP;1419894400;CTG;RE;BOG;0.02
YULU2A;1440481408;nan;40;2457209;SEK;1439187968;ZAG;SE;ARN;0.06
76BM3M;1439170944;nan;40;2457181;SAR;1435740160;CDG;US;ORD;128.89
2YL9JQ;1428219904;nan;10;2457048;EUR;1428734976;CPT;DE;JNB;0.28
Y8XCAW;1446605696;nan;40;2457215;GBP;1445840256;BLL;DK;CPH;0.22
10O4YT;1444738944;nan;30;2457205;SEK;1444932864;KIX;SE;ARN;427.18
GS7M36;1436655360;L;40;2457177;EUR;1437243776;PTP;FR;ORY;0.22
MZASNX;1447659520;nan;40;2457158;USD;1444057728;SYD;TR;YUL;1.69
II8TJM;1438367104;nan;40;2457209;EUR;1438007296;IBZ;FR;ORY;4403.81
O46FRP;1406398976;nan;40;2456788;EUR;1403322496;TLS;DE;BRI;0.02
E4MDSR;1447268736;nan;30;2457196;RUB;1446526720;MXP;AR;EZE;4989.36
W84UN7;1434280064;nan;40;2457195;USD;1436389632;MXP;CZ;PRG;30.6
91AJ5I;1440043136;nan;40;2457234;EUR;1440047104;HAM;DE;MUC;4403.81
G9TZJT;1438601472;nan;40;2457224;EUR;1440800128;AMS;PL;WAW;0.73
7L2K8K;1442141056;B;40;2457182;USD;1440627712;TLV;US;JFK;0.02
0DMZWN;1438093312;nan;40;2457188;EGP;1437744896;KWI;EG;CAI;0.06
NVOV5M;1416029440;nan;40;2456905;SEK;1414213760;LAX;SE;ZDH;0.21
000SLB;1445864320;L;40;2457079;USD;1441475072;SAL;US;EWR;0.01
9TI1R1;1400250880;L;40;2456550;GBP;1398018944;ATH;GB;MAN;0.03
4J3O3L;1441368320;nan;40;2457192;EUR;1440558720;ARN;NO;BGO;3.2
2QRDQG;1438590080;nan;40;2457152;CZK;1438641024;LHR;CZ;PRG;58098.44
HMF0XB;1408628224;nan;40;2456852;BRL;1407343104;FCO;BG;SOF;127998.34
5OZYT2;1404387584;nan;40;2456759;USD;1400007680;MAD;ES;SCQ;0.01
EIYNHD;1441696768;nan;40;2457194;USD;1438120576;FCO;GB;JFK;514.37
N8KQEZ;1448201600;nan;40;2457334;USD;1448072960;MUC;BR;GRU;21.62
EYEGPY;1437020800;nan;30;2457105;EUR;1436635392;SHE;FR;CDG;59004.34
4JCJXX;1448194048;nan;40;2457275;EUR;1446057472;TLV;FR;IST;0.2
7T2NWO;1442026112;B;40;2457238;EUR;1442535936;FLR;FR;CDG;20.59
SO09NW;1407731840;B;40;2456794;GBP;1406830208;LGW;NO;DIL;0.99
R3X4AK;1438969216;nan;40;2457163;SAR;1436310784;JED;SA;RUH;2.13
GNVZ3G;1422103424;nan;40;2457067;EUR;1422333568;TLV;IT;OTP;0.01
V88TSV;1409008896;nan;30;2456877;SEK;1407794432;ARN;SE;AGH;0.01
4ZVCBY;1437407616;nan;40;2457216;EUR;1437555456;ATH;GR;HEL;0.05
9QJZP9;1448602240;L;40;2457361;EUR;1445412864;NCE;SA;RUH;0.35
1A293L;1435351936;nan;40;2457098;SAR;1432297984;BEY;SA;CWL;0.21
G1IYNQ;1442316032;nan;30;2457253;DKK;1441038848;BGO;DK;BLL;78.3
LT8ZY8;1445209984;nan;40;2457237;EUR;1444988672;LHR;GR;MAD;1.54
1M7QCX;1435721600;nan;40;2457073;DKK;1432074496;CDG;DK;JFK;1.05
LC09XH;1440007040;nan;40;2457253;USD;1438668672;SAL;US;IAD;0.01
7TB6DH;1405975424;nan;40;2456965;EUR;1406879744;FCO;NO;JFK;19525.16
5IQ01L;1395343872;nan;40;2456734;NOK;1395607040;MJF;NO;OSL;4403.81
WSLP8A;1436272384;nan;40;2457204;USD;1437943296;ARN;DK;CPH;10.22
ZZQ872;1434278272;B;40;2457147;NOK;1434885504;OSL;NO;CPH;0.04
PYGJL0;1446327808;nan;40;2457081;EUR;1443685120;FCO;DE;MUC;30.52
4JEAYX;1454572288;L;40;2457291;EUR;1450851968;HRG;DE;MUC;4403.81
TQL52A;1427411200;nan;40;2457123;RSD;1429533056;RHO;NL;IST;0.01
QBAUPR;1440669696;B;40;2457223;NOK;1441742592;OSL;NO;KRS;36.28
4HU69Q;1446317184;nan;40;2457168;EUR;1442841088;SYD;FI;HEL;1.38
B0B9J1;1432260992;nan;40;2457102;EUR;1432766464;LHR;FR;CDG;0.02
QCQEGY;1437719808;nan;40;2457149;CZK;1437759104;RIX;NL;SVO;3.53
VJ802C;1425440768;nan;40;2456949;DKK;1422909440;ARN;DK;BLL;60.96
E9YOZF;1416772352;nan;40;2456872;NOK;1413233152;LAX;US;TRD;0.06
1K9FC3;1444639104;nan;40;2457166;AUD;1440898688;COK;SA;MED;26.35
VH0CUN;1434648576;nan;30;2457019;NOK;1432016256;SVG;NO;LIS;0.06
38YKE6;1440523904;nan;40;2457224;INR;1441131392;HAM;LV;RIX;208.45
J3FU4B;1408213248;nan;40;2456824;GBP;1409582080;LAD;GB;LGW;0.02
4G03Q7;1437708160;L;40;2457201;EUR;1439158784;AMS;DE;TXL;0.01
FETVSI;1446531200;nan;40;2457211;DKK;1444727424;AAL;DK;CPH;797.48
WMEI3T;1445979136;nan;40;2457200;USD;1442058240;LIM;BR;GRU;4403.81
S9PBPS;1438623872;nan;40;2457098;INR;1434827648;VKO;DK;CPH;0.01
VOKRKV;1440637056;B;40;2457128;EUR;1439268480;KSN;DE;MUC;4403.81
WQQ1LR;1443167744;nan;40;2457015;BRL;1440540288;JED;AR;EZE;3694.76
DIKKK8;1421561856;nan;40;2456944;EUR;1422824064;NCE;NL;ORY;0.05
MR1BTQ;1443494528;nan;40;2457214;EUR;1441770368;COK;IT;LAX;1.12
4SIRUK;1445254784;nan;40;2457312;EUR;1444968064;MAD;FR;ABJ;0.04
9H3Z1G;1437254784;nan;40;2456987;CHF;1435271424;GIG;CH;GVA;0.48
4TRY85;1420659968;nan;40;2457002;AUD;1422258944;MLA;AU;MEL;2.75
M969ZC;1433905152;nan;30;2457149;EUR;1435390592;CDG;FR;CDG;339.13
85UJ04;1438561280;nan;40;2457160;USD;1436736512;BOG;VE;LAD;4403.81
OPOUX0;1404915456;nan;40;2456777;EUR;1402192256;MAD;ES;JFK;22.7
2RH4YX;1426648832;nan;40;2457034;GBP;1425214080;WAW;GB;MAD;0.01
TMCAM2;1440523520;nan;40;2457163;GBP;1440177024;LHR;PL;VIE;0.01
D6OMQT;1444605184;nan;40;2457225;CAD;1441011584;FCO;CA;YYZ;205050.44
H2MJU6;1430301824;nan;30;2457152;EUR;1432236416;KIX;PT;LIS;4349493.5
ETUEEY;1442682240;nan;40;2457155;USD;1440136192;JED;US;IAD;19.65
PH7FFK;1413979776;nan;40;2456795;EUR;1412709888;PER;DE;GVA;0.01
XRFAO7;1441679104;nan;20;2457166;EGP;1441556224;JED;EG;CAI;0.19
WD3A35;1449211136;nan;10;2456953;USD;1444492288;MUC;DE;GRU;0.66
YEVDRS;1437956992;nan;40;2457178;NZD;1439868288;ABJ;PT;LIS;50.47
ZDY3IZ;1438081152;nan;40;2457179;EUR;1439082368;TBS;SA;CDG;0.36
7IZH3Z;1439807104;B;40;2457139;DKK;1439436288;KTM;FI;HEL;2.2
DJ73EH;1440653056;nan;40;2457304;EUR;1442183936;WAW;GR;SOF;2.03
GI8DSD;1441501312;nan;40;2457241;BRL;1441300992;VCE;SI;LJU;10.72
5KUNSV;1429788032;nan;40;2456869;GBP;1425388032;HKG;GB;LHR;4403.81
D8FGJU;1440166912;nan;40;2457203;GBP;1438862848;FLR;GB;LHR;62.17
YG32BF;1440636800;nan;40;2457186;GBP;1440239616;CDG;GB;PDL;0.78
Q80BNN;1423428608;nan;40;2456952;EUR;1421337472;ATH;FR;ORY;541.78
H8IHPT;1438115200;nan;40;2457067;GBP;1435957888;KRT;GB;RUH;26.45
382YT8;1443219072;nan;40;2457161;SAR;1441115264;KTM;FI;PKY;1.47
CT5O5F;1439180544;nan;40;2457207;COP;1439022848;MLA;FR;RUN;0.02
BU7DYW;1455079168;L;40;2457196;EUR;1452572672;TXL;FI;HEL;0.01
7L2SX7;1449552384;nan;40;2457334;USD;1448306048;MXP;IT;FCO;0.03
1XV7F1;1458530048;nan;40;2457320;SEK;1458199040;CDG;SE;GOT;3.71
5ZWAHG;1432328576;nan;30;2457059;EUR;1429094144;CDG;FR;CDG;4.05
PFHVJQ;1435302144;nan;20;2457111;DKK;1435209216;GIG;DK;LHR;0.01
RTR7C1;1427350656;nan;20;2456885;EUR;1425105792;MAD;DE;DUS;4403.81
78BA27;1439964928;nan;40;2457195;EUR;1436283008;ATH;GR;HAM;8.41
88GEP6;1419398784;nan;40;2456904;EUR;1418304384;MXP;FR;AMS;0.19
ONREN9;1418493184;nan;40;2456918;EUR;1415745792;PTP;FR;CDG;5.36
SKRI1X;1416416256;nan;40;2456916;GBP;1415437824;TBS;GB;QQS;0.22
CPOP3I;1433095296;L;40;2456958;EUR;1426881152;JED;DE;FRA;0.18
LUPC4B;1421360256;L;40;2456990;CAD;1421387776;KIX;NO;GOT;447.9
1KP4VV;1413906560;nan;40;2456887;EUR;1413414784;OSL;GR;ATH;55.91
L5M9FV;1404300160;nan;40;2456778;EGP;1400086912;RAK;BR;ADL;0.06
SC3LTE;1440636288;nan;40;2457232;NZD;1440966528;TIV;NG;LOS;21.1
NGD5IG;1415466880;nan;40;2456961;AUD;1414587136;FNC;PT;SYD;0.23
CTXJEF;1466350592;L;40;2457403;CHF;1465517312;LIS;PT;GVA;0.08
